id,message,label
1,the magic link says it expired,account_access
2,"hey, cancel my subscription and stop charging me asap",billing
3,"hello team, the app crashes when I open the calendar!!",account_access
4,I can't log in after esetting my password!!,account_access
5,please support iPhone widgets please help,feature_request
6,I get error 429 when saving please help,bug
7,can you add an API for reports!!,feature_request
8,can I get  refund for the Basic plan,billing
9,it would be great to share reports with my team asap,feature_request
10,"hello team, how do I change the owner of our workspace (again)",account_access
11,quick question: the app crashes when I open the editor ...,bug
12,"hey, I need to remove a former employee's access",account_access
13,quick question: the upgrade charge of $12 looks wrong thanks,bug
14,"hello team, any plns for offline mode on Windows",feature_request
15,quick question: please support Windows widgets!!,feature_request
16,"hi, my account is locked after too many attempts asap",account_access
17,"hey, the upgrade charge of $120 looks wrong ...",billing
18,can I get a refund for the Pro plan!!,billing
19,"hello team, add a way to tag notes by colour — urgent",feature_request
20,"hi, can you ad an API for reports!!",feature_request
21,cancel my subscripton and stop charging me,billing
22,"hey, let me schedule exports every week thanks",feature_request
23,"hello team, cancel my subscription and stop charging me please help",billing
24,quick question: I wascharged €30 twice this month,billing
25,"hello team, export to PDF cuts off the last page please help",bug
26,"hello team, my card was declined but you still billed me!!",billing
27,quick question: why is my invoice $120 higher than last time asap,billing
28,the magic link says it expired asap,account_access
29,quick question: I get error E-SYNC-7 when saving ...,bug
30,"hello team, export to PDF cuts off the last page — urgent",bug
31,the magic link says it expired,account_access
32,quick question: cancel my subscription and stop charging me ...,billing
33,quick question: I get error E-SYNC-7 when saving — urgent,bug
34,"hi, how do I change the card you bill",billing
35,"hi, someone else logged into my account from Warsaw asap",account_access
36,"hello team, exportto PDF cuts off the last page",account_access
37,quick question: cancel my subscription and stop charging me,billing
38,"hello team, add a way to tag notes by colour",feature_request
39,"hello team, I'd love keyboard shortcuts in the editor (again)",feature_request
40,"hello team, can you add an API for the calendar thanks",feature_request
41,"hello team, the upgrade charge of $120 loks wrong",billing
42,lt me schedule exports every week,feature_request
43,please support Android widgets!!,feature_request
44,"hi, the upgrade charge of $9.99 looks wrong please help",billing
45,my account is locked after too many attempts asap,account_access
46,the search returns nothing even for exact titles,bug
47,quick question: the upgrade charge of €30 looks wrong,billing
48,"hi, I need to remove a former employee's access asap",account_access
49,"hey, add a way to tag notes by colour",feature_request
50,"hey, how do I change the card you bill",billing
51,"hi, the upgrade charge of €30 looks wrong",billing
52,"hello team, I lost access to the email on my account!!",account_access
53,"hey, notifications arrive twice on Mac!!",bug
54,it would be great to share the calendar with my team asap,feature_request
55,the search returns nothing even for exact titles,bug
56,please send the VAT invoice for September,billing
57,quick question: I can't log in after resetting my passwod,account_access
58,"hey, the magic link says it expired",account_access
59,quick question: I was charged $12 twice this month!!,billing
60,the 2FA code never arrives on my Android — urgent,account_access
61,"hey, notes shows a blank screen since the update thanks",bug
62,"hello team, it would be great to share notes with my team",feature_request
63,"hi, someone else logged into my account from Lisbon",account_access
64,quick question: the app crashes when I open reports thanks,bug
65,quick question: I lost access to the email on my account — urgent,account_access
66,quick question: add a way to tag notes by colour,feature_request
67,quick question: please support Mac widgets (again),feature_request
68,quick question: I'd love keyboard shortcuts in search ...,feature_request
69,quick question: I need to remove a former employee's access please help,account_access
70,"hi, the magic link says it expired!!",account_access
71,can I get a refund for the Basic plan please help,billing
72,"hi, someone else logged into my account from Lisbon!!",account_access
73,the magic link says it expired,account_access
74,quick question: export to PDF cuts off the last page ...,bug
75,can I get a refund for the Basic plan,billing
76,"hi, how do I change the owner of our workspace (again)",account_access
77,how do I change the card you bill,billing
78,quick question: the magic link says it expired,account_access
79,"hi, could you add dark mode to reports",feature_request
80,"hello team, the app crashes when I open search (again)",bug
81,could you add dark mode to notes,feature_request
82,"hello team, any plans for offline mode on iPhone!!",feature_request
83,"hy, please support Android widgets ...",feature_request
84,"hey, how do I change the owner of our workspace thanks",account_access
85,quick question: my account is locked after too many attempts,account_access
86,quick question: it would be great to share search with my team,feature_request
87,my card was declined but you still billed me ...,billing
88,my account is locked after too many attempts,billing
89,"hi, the search returns nothing even for exact titles!!",bug
90,"hello team, sync stopped working on my Android asap",bug
91,"hello team, I can't log in after resetting my password thanks",account_access
92,quick question: the calendar is really slow and then freezes please help,bug
93,export to PDF cuts off the last page,feature_request
94,how do I change the card you bill please help,billing
95,"hello team, I was charged €30 twice this month ...",billing
96,please support Mac widgets,feature_request
97,notifications arrive twice on iPhone!!,bug
98,please support Widows widgets,feature_request
99,"hey, my account is locked after too many attempts asap",account_access
100,"hello team, why is my invoice $12 higher than last tie asap",billing
101,quick question: the search returns nothing even for exact titles thanks,bug
102,quick question: I can't log in after resetting my password please help,account_access
103,I'd love keyboard shortcuts in the editor,account_access
104,"hello team, let me schedule exports every week",feature_request
105,quick question: how do I change the owner of our workspace ...,account_access
106,the search returns nothing even for exact titles asap,bug
107,"hey, I'd love keyboard shortcuts in the editor",feature_request
108,"hey, my account is locked after too many attempts",account_access
109,quick question: I can't log in after resetting my password (again),account_access
110,my card was declined but you still billed me please help,billing
111,"hello team, please support iPhone widgets",feature_request
112,I was charged $120 twice this month please help,billing
113,the search returns nothing even for exact titles please help,bug
114,"hi, any plans for offline mode on Android",feature_request
115,"hi, my account is locked after too many attempts",account_access
116,"hey, let me schedule exports every week!!",account_access
117,"hey, I lost access to the email on my account",account_access
118,"hi, I lost access to the email on my account (again)",account_access
119,quick question: any plans for offline mode on iPad thanks,feature_request
120,I was charged $45 twice this month — urgent,billing
121,quick question: the editor is really slow and then freezes!!,billing
122,quick question: how do I change the owner of our workspace!!,account_access
123,why is my invoice $45 higher than last time!!,billing
124,I can't log in after resetting my password,account_access
125,quick question: how do I change the owner of our workspace please help,account_access
126,"hey, let me schedule exports every week — urgent",feature_request
127,"hey, could you add dark mode to the calendar",feature_request
128,"hi, the calendar is really slow ad then freezes!!",bug
129,"hey, can I get a refund for the Team plan",billing
130,please send the VAT invoice for September (again),billing
131,someone else logged into my account from Warsaw!!,account_access
132,"hi, could you add dark mode to search",feature_request
133,"hey, the search returns nothing even for exact titles — urgent",bug
134,export to PDF cuts off the last page!!,bug
135,"hi, please support iPhone widgets ...",feature_request
136,"hey, someone else logged into my account from Lisbon",account_access
137,"hi, sync stopped working on my Android ...",bug
138,"hi, my account is locked after too many attempts please help",account_access
139,my account is locked after too many attempts (again),account_access
140,quick question: I get error E13 when saving,bug
141,why is my invoice $9.99 higher than last time,billing
142,"hello team, notifications arrive twice on Windows",bug
143,quick question: how do I change the owner of our workspace!!,billing
144,I was charged $45 twice this monthasap,billing
145,the app crashes when I open notes thanks,bug
146,"hey, someone else logged into my account from Lisbon ...",account_access
147,"h, I get error E502 when saving",bug
148,"hi, I get error E13 when saving ...",bug
149,"hello team, my card was declined but you still billed me — urgent",billing
150,quick question: export to PDF cuts off the last page (again),bug
151,"hey, add a way to tag notes by colour",feature_request
152,"hello team, how do I change the card you bill asap",billing
